Address,Rent,Size,Rooms
1297 Founex,"CHF 3,050.–",85,3.5rm
1297 Founex,"CHF 3,050.–",85,3.5rm
"7A, chemin de la Treille, 1297 Founex","CHF 3,180.–",101,4rm
1297 Founex,"CHF 3,300.–",100,4.5rm
"Chemin du Ruisseau, 1297 Founex","CHF 4,000.–",200,6rm
1297 Founex,"CHF 4,285.–",140,6rm
1297 Founex,"CHF 5,300.–",empty,empty
1297 Founex,"CHF 18,000.–",370,12rm
1272 Genolier,"CHF 4,800.–",242,8rm
1272 Genolier,"CHF 4,800.–",220,6.5rm
1272 Genolier,"CHF 5,900.–",220,8rm
"Chemin des Cerisiers, 1182 Gilly","CHF 2,450.–",80,3rm
"Route de Tartegnin, 5, 1182 Gilly","CHF 2,480.–",110,4.5rm
"Chemin de la Rouette 5, 1182 Gilly","CHF 2,750.–",91,3.5rm
"Chemin des Cerisiers 18, 1182 Gilly","CHF 2,850.–",83,3.5rm
"La Place 15, 1182 Gilly","CHF 5,950.–",500,7.5rm
"Rue de l'Eglise 3, 1276 Gingins","CHF 2,760.–",88,3.5rm
1276 Gingins,"CHF 2,790.–",130,4.5rm
"Route de Chéserex 63, 1276 Gingins","CHF 2,950.–",135,5.5rm
1276 Gingins,"CHF 2,990.–",empty,4.5rm
"Route de Genolier 33, 1271 Givrins","CHF 2,200.–",85,empty
"Route de la Bellangère 19, 1271 Givrins","CHF 2,850.–",105,4.5rm
"Route de Cité-Ouest 5, 1196 Gland","CHF 1,700.–",40,2.5rm
1196 Gland,"CHF 1,700.–",40,2rm
"Rue du Borgeaud 6A, 1196 Gland","CHF 1,720.–",69,2.5rm
"Avenue du Mont-Blanc 12, 1196 Gland","CHF 1,760.–",100,4rm
"Route de Cité-Ouest 5, 1196 Gland","CHF 1,940.–",77,3.5rm
1196 Gland,"CHF 1,950.–",124,3.5rm
1196 Gland,"CHF 1,950.–",88,2.5rm
"10B, Chemin de la Chavanne, 1196 Gland","CHF 2,000.–",70,3rm
"Rue du Jura 15, 1196 Gland","CHF 2,050.–",69,4rm
"Route de Cité-Ouest 23, 1196 Gland","CHF 2,090.–",empty,3.5rm
"Ecoquartier Eikenott, 1196 Gland","CHF 2,255.–",89,3.5rm
1196 Gland,"CHF 2,260.–",98,4.5rm
"Rue du Jura 13 Gland, 1196 Gland","CHF 2,300.–",70,4.5rm
"Chemin du Bochet 8b, 1196 Gland","CHF 2,300.–",91,4rm
"Rue du Borgeaud, 1196 Gland","CHF 2,393.–",104,4rm
"Allée Waldo, 1196 Gland","CHF 2,400.–",90,3.5rm
"Avenue Mont Blanc 6, 1196 Gland","CHF 2,410.–",92,3.5rm
"Allée Waldo 5, 1196 Gland","CHF 2,445.–",81,3.5rm
"Allée Leotherius 4, 1196 Gland","CHF 2,500.–",104,4.5rm
"Rue du Borgeaud 1 B, 1196 Gland","CHF 2,510.–",117,5rm
"Rue de Riant-Coteau 136, 1196 Gland","CHF 2,550.–",145,4.5rm
1196 Gland,"CHF 2,600.–",110,4.5rm
"Allée Louis Cristin 4, 1196 Gland","CHF 2,670.–",93,4.5rm
"Allée Leotherius 3, 1196 Gland","CHF 2,680.–",92,4.5rm
"Ch. du Molard 16, 1196 Gland","CHF 2,810.–",111,4.5rm
"Allée Louis-Cristin 1, Eikenott - Imm. B3.4, 1196 Gland","CHF 2,840.–",113,5rm
"Route de Cité-Ouest 9, 1196 Gland","CHF 2,850.–",103,4.5rm
"Chemin de la Chavanne 14, 1196 Gland","CHF 2,900.–",118,5.5rm
"Ch. du Bochet 12b, 1196 Gland","CHF 2,915.–",125,5.5rm
"Chemin des Grands-Champs, 1196 Gland","CHF 3,126.–",125,4.5rm
1196 Gland,"CHF 3,400.–",160,5rm
1265 La Cure,"CHF 1,550.–",110,4rm
1278 La Rippe,"CHF 2,370.–",125,4.5rm
"Route de la Scie 28, 1278 La Rippe","CHF 3,500.–",180,7.5rm
"Grand-Rue 2, 1261 Longirod","CHF 1,650.–",80,3.5rm
"Rue de la Forge 8, 1261 Longirod","CHF 2,230.–",169,5.5rm
"6A, chemin des Jardins, 1184 Luins","CHF 2,330.–",135,3.5rm
1184 Luins,"CHF 5,220.–",183,3.5rm
1261 Marchissy,"CHF 4,000.–",300,5.5rm
"Route de Saint-Cergue 7, 1295 Mies","CHF 2,750.–",85,3rm
"Vy-des-Crêts 4, 1295 Mies","CHF 8,500.–",265,8rm
"Vy-des-Crêts 4, 1295 Mies","CHF 8,500.–",265,7.5rm
1185 Mont-sur-Rolle,"CHF 2,150.–",90,3rm
"sur demande, 1185 Mont-sur-Rolle","CHF 2,400.–",90,3rm
1185 Mont-sur-Rolle,"CHF 2,440.–",117,3.5rm
"Chemin du Rupalet 15, 1185 Mont-sur-Rolle","CHF 2,815.–",107,4.5rm
"Rte de Gimel 3A, 1185 Mont-sur-Rolle","CHF 5,100.–",240,5.5rm
"2ème étape-Rue de la Morâche 8, 1260 Nyon","CHF 1,140.–",25,1rm
"Quartier de la Levratte 10, 1260 Nyon","CHF 1,275.–",35,2rm
"Impasse du Reposoir 3, 1260 Nyon","CHF 1,290.–",42,2rm
"2ème étape-Rue de la Morâche 8, 1260 Nyon","CHF 1,640.–",42,2rm
1260 Nyon,"CHF 1,650.–",46,2.5rm
"Rte du Boiron 45, 1260 Nyon","CHF 1,720.–",66,2.5rm
"Les Fontaines K (Eysins 45 A), 1260 Nyon","CHF 1,750.–",58,2rm
1260 Nyon,"CHF 1,800.–",empty,3rm
"Place de la Gare 3, 1260 Nyon","CHF 1,800.–",53,2.5rm
"Route de Saint-Cergue 83, 1260 Nyon","CHF 1,820.–",empty,3rm
"Chemin de Pré-Fleuri 9, 1260 Nyon","CHF 1,890.–",empty,3rm
"Ch. Falconnier 31, 1260 Nyon","CHF 1,890.–",43,2rm
"Ch. de la Redoute 48, 1260 Nyon","CHF 1,950.–",empty,2rm
"Rue Neuve 5, 1260 Nyon","CHF 1,960.–",57,2.5rm
"7, route du Boiron, 1260 Nyon","CHF 2,000.–",78,3.5rm
"Route du Stand 72, 1260 Nyon","CHF 2,000.–",94,3.5rm
"2ème étape-Rue de la Morâche 8, 1260 Nyon","CHF 2,085.–",57,2.5rm
"33 à 39 Chemin Falconnier, 1260 Nyon","CHF 2,100.–",70,4rm
"Les Fontaines F (Joran 1), 1260 Nyon","CHF 2,180.–",93,3rm
"Route de Saint-Cergue 99, 1260 Nyon","CHF 2,200.–",empty,4.5rm
"Rte de St-Cergue 100, 1260 Nyon","CHF 2,200.–",empty,4.5rm
"Chemin de la Jardinière 1, 1260 Nyon","CHF 2,200.–",empty,4rm
"Falconnier 23, 1260 Nyon","CHF 2,223.–",empty,3.5rm
"Rue de la Morâche, 1260 Nyon","CHF 2,312.–",30,1rm
"Rue de la Morâche, 1260 Nyon","CHF 2,312.–",30,1rm
"Route du Stand 72, 1260 Nyon","CHF 2,340.–",114,4.5rm
"23, chemin Falconnier, 1260 Nyon","CHF 2,350.–",80,3.5rm
"Rue de la Morâche, 1260 Nyon","CHF 2,424.–",30,1rm
"Rue de la Morâche, 1260 Nyon","CHF 2,424.–",30,1rm
1260 Nyon,"CHF 2,450.–",80,3.5rm
"Chemin de Précossy 19, 1260 Nyon","CHF 2,470.–",91,3.5rm
"1ère étape-Rue de la Morâche 8, 1260 Nyon","CHF 2,490.–",67,3.5rm
"Avenue Perdtemps 9, 1260 Nyon","CHF 2,500.–",88,3.5rm
"Rue de la Colombière 29, 1260 Nyon","CHF 2,550.–",71,3.5rm
"Rue de la Colombière 29, 1260 Nyon","CHF 2,570.–",69,3.5rm
"Rue du Collège 7, 1260 Nyon","CHF 2,650.–",82,3rm
"Chemin Falconnier 9, 1260 Nyon","CHF 2,720.–",82,3rm
"Rue du College 28, 1260 Nyon","CHF 2,750.–",80,3.5rm
1260 Nyon,"CHF 2,750.–",80,3.5rm
"Rue du Collège 28, 1260 Nyon","CHF 2,750.–",empty,3.5rm
"Rue de la Colombière 29, 1260 Nyon","CHF 2,780.–",75,3.5rm
"Rue de la Colombière 29, 1260 Nyon","CHF 2,820.–",76,3.5rm
"Rue de la Colombière 29, 1260 Nyon","CHF 2,840.–",75,3.5rm
"18, chemin des Tines, 1260 Nyon","CHF 2,950.–",108,4.5rm
1260 Nyon,"CHF 3,000.–",79,3rm
1260 Nyon,"CHF 3,000.–",135,2.5rm
"Rue du Ronzier 7, 1260 Nyon","CHF 3,075.–",100,2.5rm
1260 Nyon,"CHF 3,100.–",75,3.5rm
"18, chemin des Tines, 1260 Nyon","CHF 3,200.–",108,3.5rm
"Ch. de la Fontaine 6 C, 1260 Nyon","CHF 3,240.–",115,4rm
"40, chemin de la Redoute, 1260 Nyon","CHF 3,600.–",116,3.5rm
"Chemin des Cottages 12B, 1260 Nyon","CHF 3,950.–",empty,5.5rm
"Rue de la Colombière 29, 1260 Nyon","CHF 3,970.–",128,4rm
"20, rue de Rive, 1260 Nyon","CHF 4,000.–",150,5.5rm
"Chemin des Cottages 12d, 1260 Nyon","CHF 4,300.–",empty,5.5rm
"Rue de la Combe 3, 1260 Nyon","CHF 4,490.–",empty,3.5rm
"Chemin de la Redoute 52, 1260 Nyon","CHF 7,500.–",empty,empty
1260 Nyon,"CHF 8,450.–",206,8rm
"6 Vy-Creuse, 1260 Nyon","CHF 8,650.–",231,5.5rm
"Route du Chêne 5 Perroy, 1166 Perroy","CHF 1,790.–",64,2.5rm
"Route du Chêne 5 Perroy, 1166 Perroy","CHF 2,590.–",98,4.5rm
"Grand Rue, 1166 Perroy","CHF 4,950.–",198,5.5rm
1166 Perroy,"CHF 4,950.–",empty,5.5rm
"Chemin du Creux-du-Loup 3, 1197 Prangins","CHF 1,820.–",70,2.5rm
1197 Prangins,"CHF 2,700.–",120,4.5rm
"Chemin de la Cure 2, 1197 Prangins","CHF 2,830.–",empty,4rm
1197 Prangins,"CHF 2,850.–",empty,6rm
"Route de Benex-Dessus 20, 1197 Prangins","CHF 2,880.–",empty,4rm
1197 Prangins,"CHF 5,300.–",160,5.5rm
"route de la Vallée, 1180 Rolle","CHF 1,100.–",18,1rm
1180 Rolle,"CHF 1,390.–",29,1.5rm
"Grand-Rue 64, 1180 Rolle","CHF 1,410.–",empty,1rm
"Grand-Rue 64, 1180 Rolle","CHF 1,430.–",empty,1rm
"Rue des Petites-Buttes 20 C, 1180 Rolle","CHF 1,450.–",53,1.5rm
"Rue du Port 5, 1180 Rolle","CHF 1,680.–",65,2.5rm
1180 Rolle,"CHF 1,800.–",45,2.5rm
"Rue des Petites-Buttes 20 A, 1180 Rolle","CHF 1,810.–",76,3.5rm
1180 Rolle,"CHF 2,000.–",80,3rm
"Rue du Port 5, 1180 Rolle","CHF 2,130.–",68,empty
"Av. du Jura 46, 1180 Rolle","CHF 2,450.–",99,4.5rm
"Route de l'Hôpital 5, 1180 Rolle","CHF 2,815.–",125,3.5rm
"Av. du Jura 40, 1180 Rolle","CHF 2,850.–",136,4.5rm
"Route de l'Hôpital 1, 1180 Rolle","CHF 3,000.–",145,5.5rm
1180 Rolle,"CHF 3,200.–",130,4.5rm
"Chemin des Plantaz 10, 1180 Rolle","CHF 3,450.–",130,4.5rm
"Chemin des Plantaz 10, 1180 Rolle","CHF 3,600.–",131,4.5rm
1180 Rolle,"CHF 3,950.–",150,4.5rm
"Avenue de Beaulieu 22-40, 1180 Rolle","CHF 4,900.–",135,5.5rm
1180 Rolle,"CHF 4,950.–",198,5.5rm
"Chemin de Chenaud 14, 1180 Rolle","CHF 6,900.–",374,8.5rm
1264 St-Cergue,CHF 960.–,35,1rm
"route d'arzier 17, 1264 St-Cergue","CHF 1,070.–",empty,1rm
1264 St-Cergue,"CHF 1,150.–",24,1rm
1264 St-Cergue,"CHF 1,150.–",29,1rm
1264 St-Cergue,"CHF 1,500.–",51,2.5rm
"Les Cheseaux-Dessus G5 appt 241, 1264 St-Cergue","CHF 1,600.–",65,2rm
1264 St-Cergue,"CHF 1,950.–",81,3.5rm
1264 St-Cergue,"CHF 2,000.–",64,3.5rm
1264 St-Cergue,"CHF 2,150.–",91,4.5rm
1267 Vich,"CHF 1,750.–",57,3.5rm
"Chemin Clos de Payerne 24, 1267 Vich","CHF 3,150.–",109,4.5rm
"Chemin Clos de Payerne, 1267 Vich","CHF 3,800.–",empty,6.5rm
"Place D'Armes, 1277 Borex","CHF 5,921.–",53,2rm
"Chemin da la Fin, 1296 Coppet","CHF 2,635.–",50,2rm
"Dully - chemin de la Dullive, 1195 Dully","CHF 2,635.–",39,1rm
"Route de la Chataigneriaz 5 1297, 1297 Founex","CHF 2,170.–",40,1.5rm
"chemin des Repingonnes 5D, 1297 Founex","CHF 8,060.–",115,4.5rm
"Route de Cite-Ouest 5, 1196 Gland","CHF 1,700.–",40,2.5rm
"Chemin de Sus-Craux, 14, Perroy, 1166 Perroy","CHF 1,430.–",50,2.5rm
